comment,author,time
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=31m19s"">31:19</a> 直接走上去 超好笑",@user-ui8vz7tw6y,2023-11-11T16:58:14Z
如果滴血驗親第二次換的水，又融合在一起，那就好笑了,@user-oi8kd8om5x,2023-11-07T10:51:57Z
其實對於一個不明事理的小白來說<br>除了像我們觀眾都知道真相外<br>不然她們這樣一來一往的，即使甄嬛都見招拆招了，我還是腦袋訊量太大了，<br>如果我是皇上一定直接登出😅,@May-ye8ip,2023-10-22T13:22:49Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=6m35s"">6:35</a><br>風紀股長趁大家都在看地上時，示意奴婢偷溜出去通風報信",@mialiao4748,2023-10-17T19:07:20Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=30m32s"">30:32</a> 「此身從此分明了」是什麼意思呀？是我是清白的這樣嗎？",@user-on9bo1ql8o,2023-10-15T04:28:56Z
六阿哥表示 : 靠北 是要驗幾次啦!?,@yuching5359,2023-10-14T19:00:29Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=39m30s"">39:30</a> 超好笑，確實，她早知道甄嬛對溫實初沒有情，莫名其妙被誤會才要動了胎氣😂",@natalielllin7665,2023-10-12T17:32:09Z
靜白:（有誰比我慘！）割了舌頭，還要杖斃！~😢,@user-tb5sp4pl3m,2023-10-09T06:32:35Z
蘇妃：奴才沒有生育的能力 溫太醫和槿汐怎麼可能是奴才的孩子😂😂,@nikiloveyou1113,2023-10-07T05:23:40Z
又來看這集，雖然大家都說陵容害了眉莊，反過來想眉莊怎麼就那麼容易被煽動呢？都有孕了還這麼急躁沒有計謀就腦衝，說實在她骨子裡本就不是端莊穩重的人😂,@kisshugandmiss,2023-10-04T21:42:50Z
每次看慎貝勒說瓜2+4珠圓玉潤我都笑瘋,@nini2346,2023-09-24T13:59:54Z
樣貌完全比不上熹貴妃ㄟ，要不要自己照照鏡子,@pin32111,2023-09-18T12:38:26Z
康常在跟貞嬪各種罰俸 😂,@user-sd6js2xq2x,2023-09-18T10:33:43Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=4m35s"">4:35</a>滴血這一整段很👍陵容看似在為熹貴妃說話，事實上都是在為下一個證據鋪墊，這種反話正說的技巧寫詞的人超厲害",@kisshugandmiss,2023-09-15T19:52:34Z
可惜華妃不在 要不然一定更精彩,@user-wq5gv4hr3x,2023-09-10T07:10:18Z
公式对了，数代错了,@user-or2ng5po4u,2023-09-09T03:05:41Z
朕不再有疑心(我保證5集內不再懷疑..超過就難說)...,@edlio4729,2023-09-06T07:03:22Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=26m18s"">26:18</a>  嬛嬛兩隻手慌張的懸在那裡好可愛",@user-rh2nx7gb1j,2023-09-01T09:21:31Z
蘇培盛好可愛XD<br>&quot;溫太醫跟槿析怎麼可能是奴才的孩子&quot;<br>說溫太醫就算了 槿析我真的會笑死 他們還是對食耶,@user-wl3uv7tv5w,2023-08-25T20:16:46Z
太強了，用太監總管蘇培盛的血破了這個局，這個反應真的是天生的，訓練不出來的。甄環真是好樣的。,@user-pz5ps8zq5k,2023-08-20T11:38:49Z
「祺貴人珠圓玉潤」😂😂😂,@eddielin6081,2023-08-17T19:05:54Z
寧貴人直接幫皇上主持起會議來了,@chunhungyah3846,2023-08-17T04:27:11Z
凌雲峰那種地方<br>常有果子貍出沒傷人,@catcat0327tra,2023-08-14T10:45:32Z
寧貴人真的是超愛青色、綠色，連身邊貼身宮女的名字都叫阿綠！,@JonathanLin0705,2023-08-13T15:56:27Z
這一集根本是在飆演技，太精彩了！👍,@user-ut8jx4ur5j,2023-08-11T14:29:09Z
我猜靜白在肖想溫實初的身體😂😂,@makoto4725,2023-08-10T16:08:57Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=26m17s"">26:17</a>謎之笑聲wwwwwwwwww",@user-fl8yn4br4b,2023-08-08T15:45:23Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=7m03s"">7:03</a> 當時好可愛",@user-we5yg7hv8v,2023-08-07T05:53:51Z
其實皇后一黨的勝率很大<br>堪稱告人教科書<br>原因如下<br><br>簡單版：其實就跟3年沒見的前女友約跑一次後復合，過不久女方就宣稱懷孕一樣，外加有意把自己開的公司（皇位）給孩子繼承，皇上一定會想要親子鑑定，皇后只要加入白礬即可。就算皇后不搞這齣，皇上如果哪天不喜歡甄嬛了，鐵定會把六阿哥的身世拿出來吵，就算沒有祺貴人的指控，早晚會調查六阿哥的來歷。（皇上多疑又愛變臉，甄嬛早年從分擔解憂的解語花轉變成干政，就是一個前車之鑑）<br><br>列點版：<br><br>1.皇上本就多疑：母親都能怨恨多年、兄弟都能反目，更別提愛人，加上先帝時期的九子奪嫡，太后偏愛弟弟與外遇史，促使皇上對於伴侶和皇位有極高的不安全感，而且自回宮後皇上是真的愛上甄嬛了，而不像之前一樣只是把她當替身而已，越愛反而會想很多、越在意<br><br>2.提及選秀前溫太醫提親：正好跟太后和隆科多選秀前的承諾相似，若皇上知道後鐵定把太后的事情投射到甄嬛身上，會更不爽（這也是導致溫太醫必須自宮的原因，以求自保）<br><br>3.把宮外有孕這件事搬上檯面：皇上久久未見甄嬛，宮外臨幸一次就有了，搭配皇上多疑的性格，祺貴人的指控正好把這個該檢驗的事情在「全體後宮」面前搬上檯面，變成皇上不得不處理這件事（安嬪的推波助瀾）<br><br>4.提及未來繼承大統：為了增加滴血驗親的正當性，把「皇家家事」上升到「大清帝國的未來」等級，這是具有政治思維的論點，也是皇上會優先考量的點，皇上喜歡六阿哥也有意指望他成為繼承人，為了避免之後有人懷疑太子的身世，六阿哥鐵定要來個親子鑑定。<br><br>5.滴血驗親：不管有無祺貴人的指控，依皇上的尿性，早晚會調查六阿哥是否是他的，所以滴血驗親是早晚都會做的事情，皇后跟隨皇上多年，知道這個指控大會正好也能解惑皇上的疑慮（皇上還不用自己動手調查，不傷和甄嬛的感情），皇上必定會答允滴血驗親，加上驗過一次就相溶，再承接前面種種原因，皇上鐵定會盛怒之下把甄嬛宰了<br><br>以上任一點若應對失誤都足以讓甄嬛在鬼門關前來回跳舞了,@Eva-ux7zj,2023-08-04T12:52:07Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=18m15s"">18:15</a>",@user-zt3im8vd4y,2023-08-02T09:49:49Z
看了八百次後才發現，陵容主張拔下靜白舌頭是不是為了防止她咬出皇后一行人？,@Vanessa-vf8tz,2023-07-26T15:56:48Z
笑爛，專心看才發現，前一集胖橘還說瓜6沒什麼大錯不好處理，結果下一集瓜6就馬上寄己撞出來找死🤣🤣🤣,@user-fl4qt7hp3b,2023-07-23T22:15:25Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=26m45s"">26:45</a> 安小鳥後面的寶娟看計畫失敗一直在揉手絹!!!!!!!!! <a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=27m03s"">27:03</a>寶娟的眼神一臉失望",@pocac3229,2023-07-19T15:27:02Z
每次看都覺得皇后黨都是一堆豬隊友😂<br>甄環戰隊各個高EQ IQ不贏也難<br>可憐的寶寶還要被刺兩次xDD,@user-et3sz2gs4n,2023-07-15T12:28:17Z
安嬪跟靜白的聲音一樣耶！,@chenma9910,2023-07-15T11:02:13Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=30m48s"">30:48</a> 這個畫面安陵容後面原本有兩個侍女只剩寶鵑一個 另一個應該就是跑去跟沈眉莊通風報信 說明安陵容這時才派侍女去是要害沈眉莊的",@yu83721,2023-07-06T20:12:56Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=26m15s"">26:15</a> 蘇妃超好笑 溫太醫的年紀當你兒子還說得過去 說槿汐也太好笑了吧哈哈哈",@Sek1ya7,2023-06-24T17:04:32Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=7m46s"">7:46</a>  貧尼甘露寺蜜璃",@user-bi6yz8sh5n,2023-06-21T12:53:48Z
完全不懂一千三的負評是為何XD 明明是經典又精彩、張力十足的一場,@Jumiona,2023-06-20T18:44:21Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=37m22s"">37:22</a><br>寧貴人那個表情真的超跩超不屑🤣🤣🤣🤣🤣<br>換作別人演的話大概就是瞪眼+轉頭<br><br>她則是還加了嘴形🤣🤣🤣",@NLayla875,2023-06-18T15:26:29Z
當真是不一般呢,@user-wx3et6gw8r,2023-06-18T09:43:26Z
看來熹貴妃與你的情誼,@user-wx3et6gw8r,2023-06-18T05:41:09Z
這集好精彩 我幾乎每天都會看一次哈哈哈哈哈哈哈哈哈哈哈哈🤣,@itsninja_____,2023-06-17T03:32:16Z
500萬了🥹,@Lan10610,2023-06-11T12:56:52Z
皇后是人老珠黃的老查某,@user-wx3et6gw8r,2023-06-11T10:39:45Z
不管看幾次 還是覺得溫太醫手沾滴過血的水放進嘴裡 有夠噁心！,@spes60207,2023-06-10T05:01:33Z
這集真的是全劇最精彩的一集。,@JianShengHou,2023-06-02T14:24:33Z
就是皇后心很毒,@user-fy2jz5pb6y,2023-05-26T08:42:54Z
莫言的台詞有問題，此時分別也就一年多，怎麼會一別數年。,@pen4812,2023-05-15T01:12:12Z
2023 solo起來～～,@mayday0321,2023-05-03T06:48:24Z
玉嬈去甘露寺的時間，如果浣碧有去碎玉軒幫忙安撫眉姊姊就好了......,@user-jo4wh7rz8f,2023-04-08T12:53:06Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=33m52s"">33:52</a>皇后：煩死了是要老娘跪多久",@DafckoginiCha,2023-04-01T15:42:42Z
如果我是皇后 就假裝氣到摔爆水盆 就不會被發現了…,@DafckoginiCha,2023-04-01T15:35:33Z
D N A化學系 上台報告大會😅,@user-ub1ec6ul8u,2023-03-26T03:20:18Z
19：48 槿汐表示我快腦充血了😂😂<br>什麼時候可以起來,@pei-chenzhong2763,2023-03-26T01:38:13Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=36m00s"">36:00</a> 甄嬛在講幕後主使，就是在臭皇后 連寧貴人的眼神也是在看皇后🤣",@tzuyunlin8706,2023-03-24T11:25:03Z
滴血認親的水是有人動過手腳的宜修想用這陷害甄環還好甄環用自己的血去測試一下問題所在了、妳的婢女慧春就很蠢的沒陷害成功嘛弘彥本就不是溫實初的孩子、這祺嬪還是認為甄環跟溫實初有私情什麼私情只是青梅竹馬而已那來的私情、甘露寺還好有莫言幫甄環忙的安陵容妳也快了害死沈眉莊⋯⋯,@user-gm6jo8ig9t,2023-03-24T06:09:58Z
看了這麼多次才想到<br><br>滴血認親<br>果郡王跟皇上也有血緣關係<br>這樣真的驗了有辦法判斷嗎？,@User-22334a,2023-03-23T12:58:05Z
玭兒的髮型瀏海真的是為戲犧牲！！！！！,@user-qq4gs3do8t,2023-03-22T09:35:36Z
發現在甄嬛傳會找到數月到一年聊上一句的小主好姊妹們~🤣 歷經十數年甄嬛傳仍是王者啊！,@yunic9379,2023-03-22T07:32:23Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=20m47s"">20:47</a> 甄嬛低頭講話那邊，眼神好像在說，都給你祖母等著！😂",@emerywu5587,2023-03-19T10:35:07Z
祺貴人真的很激動，跪著說話頭一直歪著😂😂😂😂😂😂😂,@emerywu5587,2023-03-19T10:28:57Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=23m14s"">23:14</a> 胖橘：哼～ 喵！",@5B2C,2023-03-18T18:36:53Z
有時我在想，如果溫太醫是O型血，不知道會怎樣,@jk05162005able,2023-03-17T14:04:58Z
靜白要祺嬪救她都自身難保了誰還能救自己呢？甄嬛雖跟溫實初相識但他們確實沒有私情所在的、祺嬪身上戴的鍊子是宜修送給她的那是麝香那能成孕呢，,@user-gm6jo8ig9t,2023-03-15T07:05:44Z
靜白被打屁骨是因為甄環被迫趕往甘露寺完全是靜白ㄧ直找甄環麻煩不是莫言、甄嬛就死了祺嬪說溫實初跟甄環私情、這些人真是無風不起浪拉還不是妳宜修搞出來的祺嬪這時候胡說八道的,@user-gm6jo8ig9t,2023-03-15T06:52:34Z
蘇培盛神救援🤩,@user-yl2wh6ti3j,2023-03-13T16:43:11Z
拽妃一上来就把苏妃撵一边去了,@supufung274,2023-03-13T05:37:32Z
還好敬妃跟熹妃都沒打翻那碗水就不然就真的g了,@user-wo3wy6de1n,2023-03-03T06:04:26Z
飛蚊-症～眼睛不好,@jojotohappy,2023-03-02T00:59:11Z
"@<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=26m30s"">26:30</a> 端妃知道水有問題，第一個馬上轉頭看向皇后，真的是細節做好做滿。",@alpha8109,2023-02-16T13:31:02Z
安小鳥真的好吵⋯,@vivichang6519,2023-02-11T12:05:23Z
出家人不打誑語.偏你這條白舌專打誑語.胡說八道🤣🤣,@user-eo1ie4dp3p,2023-02-07T16:27:04Z
請問哪裡有賣白礬？😅,@mickeyshih7900,2023-02-01T10:57:26Z
（之前看到的一則神留言）<br>祺貴人：「溫太醫與熹貴妃有私情！」<br>溫實初：「我當初也想啊，但是她不要！」,@userJiangPisces,2023-02-01T10:01:15Z
不過聽到了溫太醫自宮了，卻暈倒了，皇上怎沒對惠嬪有任何的猜忌？，著實令人懷疑？,@user-tb5sp4pl3m,2023-02-01T08:29:32Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=16m07s"">16:07</a> 蘇妃：好啊 你個賤人 竟然把主意打到我們家槿汐身上😡<br><br><br><br>後面蘇妃讓人圍毆踢死瓜6☺️呸",@Motortacoqiu,2023-02-01T07:43:54Z
把你們Solo起來！,@user-xx2ls5le2m,2023-01-31T01:56:13Z
今年過年才在直播看完今天又來回味一下,@user-lv2cz8oo9d,2023-01-30T05:52:28Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=22m52s"">22:52</a> <a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=23m14s"">23:14</a> 大清摩托車",@bruceyuchuanyu,2023-01-29T10:31:44Z
真想重重懲治皇帝,@RachelHuang-rebekah325,2023-01-23T12:04:23Z
依現代科學來說<br>其實無論血緣 所有的血都會融合啊,@edna-pn7vr,2023-01-23T04:48:43Z
看到淨白 仗弊的瞬間 心中只有一個爽字！,@yui22522,2023-01-18T09:06:51Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=21m33s"">21:33</a> 弘瞻明明在睡覺 請完安直接醒來 然後刺手指又睡著😂",@user-hu7go7wf7b,2023-01-16T15:06:42Z
安小鳥講話看似幫甄嬛，卻句句都在幫瓜爾佳舖梗！細思極恐！,@satan970642,2023-01-15T08:39:34Z
這些人都被宜修收買陷害甄環的.而說你是清白的誰信蕙春看情形不對出來頂罪、甄嬛的6阿哥不是溫實初的而是果郡王的溫實初為證明甄環清白自己自宮.安陵容故意叫人去告訴沈眉莊害的胎動大出血也害了一條命安陵容居心頗測想讓甄環為沈眉莊傷心、她也是讓甄環的第一個孩子死在她的手上當時想藉年世蘭宮裡的歡宜香害甄環、莫言來宮裏幫甄環澄清在陵雲峰差點沒命靜白受人指使的、而這人是祺貴人她也是受皇后指使的說甄環在陵雲峰跟溫實初行污穢、溫實初是皇上派他去給甄環看病安陵容命鴇鵲告訴沈眉莊害的難產大出血、這安陵容真毒啊讓甄環傷心,@user-gm6jo8ig9t,2023-01-15T00:04:11Z
靜白跟安嬪也同一個配音阿😂,@hobgoblin737,2023-01-14T21:36:39Z
2023 還在刷 +1,@168aloha,2023-01-14T13:41:53Z
慘啊 靜白被割了舌頭 還要被杖斃,@user-yw5pw5bs3b,2023-01-14T00:51:59Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=14m17s"">14:17</a> <br>若真有 唯恐后宮不(((((((爛))))))))的厥詞~~~~~~~~~~~~",@guanyu9376,2023-01-12T11:23:57Z
皇后跟安陵容真的很討人厭,@user-xb9pq9we8t,2023-01-11T08:36:15Z
安陵容的聲音真的好欠揍喔😂,@ponponhaha2011,2023-01-10T15:06:02Z
有人發現欣貴人換位子了嗎😂  原本坐祺瓜六旁邊  後來變成安鳥嬪旁邊,@hobgoblin737,2023-01-09T20:17:56Z
一碗水準備到天黑,@AlmagerLin,2023-01-08T05:17:38Z
2023年了還是最喜歡這集<br>期待今年過年還有馬拉松可以看❤️,@ninichen9264,2023-01-06T16:32:05Z
我每次看這一集 都覺得寶寶好厲害 兩次取血的哭聲 一摸一樣,@easonhsieh5794,2023-01-01T14:41:59Z
2023/1/1🎉有人嗎😂,@user-iy4tk1wj9t,2023-01-01T04:07:11Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=3m45s"">3:45</a> 每次聽敬妃講「真是」都會想到：哎一古c8 shake it 😂😂",@quindwu7501,2022-12-27T11:14:56Z
其實加白帆 皇上跟孩子的血也能相容 欸,@user-oh1uo3rk9t,2022-12-27T06:03:38Z
神劇,@user-gk5ft1tf1x,2022-12-21T05:43:30Z
結果大家都O型，全劇終。,@sevenlin481,2022-12-18T20:12:05Z
"每次看這段覺得 <a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=2m53s"">2:53</a> 寧貴人偷笑很有趣🤣",@xaun9221,2022-12-17T11:23:06Z
"祺嬪被蘇公公叫人打死是自作自受,誰叫她提議重刑槿汐🤨",@user-cq6ok3pk3f,2022-12-17T05:23:24Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=25m15s"">25:15</a> 每次我都會怕那個裝水的小桌子會被不小心碰倒😂這樣皇后動手腳的證據就沒了",@hs3148,2022-12-16T10:47:22Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=26m24s"">26:24</a>開始剪秋的表情好有戲哈哈哈",@Nnzzz17,2022-12-16T05:00:20Z
"皇上要是信了環兒和實初有了姦情,我才真的動了胎氣！（和實初有了姦情的,明明是我！……！）😭",@user-tb5sp4pl3m,2022-12-15T10:18:13Z
斐文 靜白 杖斃 這太霸氣了,@user-cj3fw1ee9s,2022-12-11T17:07:21Z
18：15唉 看小說時這邊慎貝勒是把棋貴人嗆得體無完膚還給了一巴掌 可惜呀,@WeiZ0606,2022-12-11T15:07:34Z
"眉莊說：信了嬛兒和實初有姦情...<br>一聽就知道眉莊和實初有姦情<br>台詞安排的真是巧妙,當初沒察覺～",@user-me8jm8lx3n,2022-12-11T03:13:11Z
好個甄嬛、好個孫儷！怕貓、怕雷雨、怕冷也怕熱！但是......就不怕懷孕,@user-oe1wk4zk6m,2022-12-08T11:24:22Z
終於把疑點連貫起來了、莫言說過：男人都會讓女人傷心！然後小允子去甘露寺討救兵也說有相識之人！依我的專業推斷....小允子甩了莫言然後揮刀自宮進宮、接著莫言傷心欲絕而出家！這是完全合理化的推斷,@user-oe1wk4zk6m,2022-12-08T11:20:04Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=26m13s"">26:13</a> 蘇培盛：奴才沒有生育能力，溫太醫和瑾汐，怎麼可能是奴才的孩子😂",@joycelai4773,2022-12-08T08:34:25Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=28m24s"">28:24</a> 甄嬛那個表情變化好強，看了一眼皇上後馬上開始演戲太厲害了",@user-xo8dw4ym9x,2022-11-24T19:03:58Z
到目前為止甄還傳真的是經典中的經典👻,@wuian2649,2022-11-24T05:20:40Z
溫：媽的我也很想碰甄嬛阿 沒碰過怎麼孩子變我的 難不成牽手真的會懷孕？,@user-vf9lv9ml4r,2022-11-24T05:18:07Z
滴血驗親變成滴血大賽了,@user-eb1bs4iy4u,2022-11-21T16:42:39Z
繪春明知為皇后頂罪死路一條為何要跳出來？有何好處？,@CHIANG3580,2022-11-20T22:45:43Z
安陵容每一句話都超機掰，真想給她巴下去,@mayuriryu6207,2022-11-18T10:21:35Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=16m08s"">16:08</a> 七二道刑法也可以賞給 琪貴人 如果還不改口 指證甄環通姦 那更可信了",@Linkbellydancekitsune,2022-11-09T14:24:13Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=29m28s"">29:28</a>  哈~<br>看到传说中的「农夫山泉」了~",@dtg.2020,2022-11-01T18:38:39Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=31m40s"">31:40</a> 皇上這個老淫蟲,一看到玉嬈,淫心又起.眼睛盯著完全忘了眼前正忙著抓姦夫呀",@user-fr8vm2in5h,2022-10-28T19:56:48Z
為什麼玉嬈知道寧貴人的宮女名字？,@can726,2022-10-27T04:06:54Z
2022複習！已經到了每句台詞都可以接下去的地步了😂,@yunsa3243,2022-10-25T01:25:25Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=26m18s"">26:18</a> 哈哈哈 朕知道😂",@pumpkinspicelatte4448,2022-10-24T08:45:49Z
要是兩人血型相同就慘了,@pumpkinspicelatte4448,2022-10-24T08:41:04Z
安嬪提議割靜白舌頭是想滅證嗎？古時候女子識字的不多，沒了舌頭還真的無法把主謀供出來😅,@user-je5xi6te4o,2022-10-21T16:00:04Z
喔幹心臟差點跳出來,@skr3356,2022-10-20T13:22:05Z
那句：「你閉嘴！」聽得好爽,@user-st2xl1mh1k,2022-10-20T11:01:37Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=28m23s"">28:23</a><br>熹：欸 好像可以演一下 加油添醋",@user-sy7fl3ms1p,2022-10-13T15:04:37Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=25m04s"">25:04</a> 敬妃打翻水.....   全劇終",@stone83690,2022-10-13T14:34:43Z
"<a href=""https://www.youtube.com/watch?v=ITuTTA1PpoA&amp;t=26m46s"">26:46</a>後面看戲看的好緊張手絹捏那麼緊🤣",@weiweisu7307,2022-10-11T16:35:02Z
只有我覺得玉嬈演的很奇怪嗎,@yana0b95,2022-10-10T03:12:19Z
話說怎麼翻看都覺得怪<br>安琪拉小分隊到底哪來的底氣跟甄嬛戰隊掰扯<br>安琪拉小分隊唯一的優勢就是皇后至高無上<br>但問題是甄嬛戰隊<br>甄嬛 端妃 敬妃 都是高位妃嬪<br>不是安陵容 跟 琪貴人 貞嬪 康常在這些蝦兵蟹將可以比擬的<br>更不要說甄嬛還有天然隱形戰友 沈眉莊 蘇培盛 甄玉嬈 可以搖旗吶喊跟補刀<br>單就口舌之爭<br>甄嬛戰隊另外還有 葉瀾依跟欣吧機這兩個嘴砲王者<br>就算不把果郡王跟慎貝勒這些男性親眷捲進來<br>光就女眷部分<br>安琪拉分隊就已經是一敗塗地<br>更不要說甄嬛那個雙生子根本就是瞎疑猜<br>一點實質證據都沒有<br>全靠揣測跟胡編瞎造<br>皇后是頭風又不是失心瘋<br>怎麼會容得琪貴人自己做死然後把安琪拉分隊弄得慘兮兮<br>皇后失權失寵 安陵容坑沈眉莊被掌嘴  貞嬪 康常在 全部受罰 琪貴人直接進冷宮<br>可以說安琪拉戰隊幾乎全軍覆沒<br>這一杖幾乎是把安琪拉戰隊全部的家底都拼光了<br>以皇后的智謀<br>這場隊戰糟得難以想像,@hayabusachi8599,2022-10-09T03:39:18Z
棋貴人不要再撐鼻孔了啦😂,@yugiohann,2022-10-08T20:58:31Z
這三年來，我不知道看著一幕幾百次，但每次看一樣精彩一樣爽😂,@user-ut9to1sr6z,2022-10-06T17:26:42Z
蘇培盛後面拿過去的水 依舊是有問題的 畢竟滴血驗親本來就是不準的,@user-tz7hz5ps5l,2022-10-03T22:20:44Z
溫：皇上這不可能這絕對不可能啊，要也是17爺的啊～～～～<br>還好溫沒說溜嘴🤣,@weiweisu7307,2022-09-29T18:36:09Z
「我的門第、樣貌哪一點比不上你，何以要皇上面前都讓你佔盡了風頭！」<br><br>瓜爾佳氏缺的不是那些，是腦子,@AvrilLin,2022-09-29T12:58:13Z
好看“，後宮內心戲搭上哭哭惹人憐愛的表情，太強的演技。,@Lily-yx3tq,2022-09-29T06:24:57Z
